Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Main Switchboard,Protection Relays and Meters,14.26,Epoxy Resin,40.0,Copper,32.1,17.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,16.76,Phosphor Bronze,46.5,Silver-Tin Oxide,20.2,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.05,Polyamide,72.0,Polycarbonate,22.1,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Earthing and Grounding Bars,16.08,Copper,96.8,Carbon Steel,4.3,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,843.45,Carbon Steel,97.6,Stainless Steel,3.0,24.0,Welded,1.0
Main Switchboard,Door Panels and Covers,28.03,Carbon Steel,85.2,Polyamide,8.4,26.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,225.86,Copper,99.0,Carbon Steel,1.0,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,16.88,Tinned Copper,65.9,PVC,30.3,16.0,Extruded / Stranded,2.0
Main Switchboard,Control Wiring Harness,17.36,Copper,63.0,PVC,29.1,18.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,11.23,Polyamide,69.9,Polycarbonate,22.3,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Protection Relays and Meters,12.57,FR4 Composite,40.2,Copper,29.3,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,232.67,Copper,99.0,Carbon Steel,1.0,25.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,18.19,Copper,49.5,Silver-Tin Oxide,21.4,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,16.91,Copper,89.7,Carbon Steel,4.3,34.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,26.97,Carbon Steel,84.4,Polyamide,8.1,26.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,23.78,FR4 Composite,50.7,Copper,27.3,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Steel Frame / Chassis,863.14,Carbon Steel,92.4,Stainless Steel,2.9,26.0,Welded,1.0
Main Switchboard,Withdrawable Circuit Breakers,40.1,Carbon Steel,55.4,Copper,26.8,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,40.79,Carbon Steel,57.8,Copper,26.4,18.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.1,Polyamide,70.8,Polycarbonate,23.6,16.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,PLC and Logic Assemblies,22.07,FR4 Composite,49.0,Copper,25.6,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Contactors,16.4,Copper,47.7,Silver-Tin Oxide,19.2,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,236.81,Copper,99.0,Carbon Steel,1.1,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,16.72,Copper,98.1,Carbon Steel,4.0,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,29.8,Fabricated Steel,82.0,Polyamide,7.6,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,948.35,Carbon Steel,95.3,Stainless Steel,3.0,29.0,Welded,1.0
Main Switchboard,Control Wiring Harness,14.93,Copper,65.1,PVC,32.6,14.0,Extruded / Stranded,2.0
Main Switchboard,Protection Relays and Meters,12.68,FR4 Composite,44.0,Copper,32.2,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,23.88,FR4 Composite,47.5,Copper,26.8,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,17.28,Cu-ETP Copper,93.4,Carbon Steel,3.7,25.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,37.46,Carbon Steel,53.6,Copper,24.7,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,17.21,Copper,52.5,Silver-Tin Oxide,19.2,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,15.55,Copper,63.5,PVC,30.8,18.0,Extruded / Stranded,2.0
Main Switchboard,Steel Frame / Chassis,894.19,Carbon Steel,96.4,Stainless Steel,2.7,24.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,13.0,Polyamide,73.1,Polycarbonate,23.7,12.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Protection Relays and Meters,13.41,FR4 Composite,43.3,Copper,31.3,16.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,25.82,Carbon Steel,90.2,Polyamide,8.1,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,243.18,Copper,97.2,Carbon Steel,1.0,24.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.44,Polyamide,67.9,Polycarbonate,21.5,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,925.53,Carbon Steel,97.8,Stainless Steel,3.1,29.0,Welded,1.0
Main Switchboard,Withdrawable Circuit Breakers,37.36,Carbon Steel,56.2,Copper,26.7,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,16.24,Copper,52.0,Silver-Tin Oxide,21.6,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,28.21,Carbon Steel,86.3,Polyamide,7.6,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,233.94,Copper,99.0,Carbon Steel,1.0,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,13.7,FR4 Composite,40.2,Copper,31.3,12.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,24.25,FR4 Composite,45.7,Copper,29.3,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,17.22,Copper,98.3,Carbon Steel,4.1,34.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,14.9,Copper,68.8,PVC,28.0,12.0,Extruded / Stranded,2.0
Main Switchboard,Door Panels and Covers,27.9,Carbon Steel,83.1,Polyamide,7.7,23.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,41.7,Carbon Steel,55.5,Copper,23.5,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,832.6,Carbon Steel,90.4,Stainless Steel,2.9,29.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,12.81,FR4 Composite,40.0,Copper,31.2,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,16.5,Copper,63.6,PVC,31.1,16.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,11.15,Polyamide,69.5,Polycarbonate,22.6,12.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,PLC and Logic Assemblies,19.84,FR4 Composite,45.3,Copper,27.8,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,17.02,Copper,92.0,Carbon Steel,4.1,28.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,16.58,Copper,47.2,Silver-Tin Oxide,20.2,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,219.37,Copper,98.3,Carbon Steel,1.0,22.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,236.08,Copper,96.4,Carbon Steel,1.0,28.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,15.99,Copper,48.4,Silver-Tin Oxide,21.0,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,34.43,Carbon Steel,53.0,Copper,27.2,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,25.77,Carbon Steel,83.2,Polyamide,8.4,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,20.21,FR4 Composite,45.4,Copper,29.9,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Control Wiring Harness,14.94,Copper,66.2,PVC,30.7,14.0,Extruded / Stranded,2.0
Main Switchboard,Earthing and Grounding Bars,17.36,Copper,99.0,Carbon Steel,4.0,34.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,922.82,Carbon Steel,99.0,Stainless Steel,2.9,24.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,13.0,FR4 Composite,39.8,Copper,34.0,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,11.85,Polyamide,68.2,Polycarbonate,20.5,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Contactors,17.79,Copper,48.9,Silver-Tin Oxide,19.2,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,219.84,Copper,99.0,Carbon Steel,1.0,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,15.77,Copper,62.9,PVC,28.6,16.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,12.52,Polyamide,69.8,Polycarbonate,20.1,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,PLC and Logic Assemblies,23.89,FR4 Composite,50.6,Copper,26.6,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,17.95,Copper,93.1,Carbon Steel,4.1,34.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,28.67,Carbon Steel,87.5,Polyamide,7.9,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,41.27,Stainless Steel 316L,55.3,Copper,26.1,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,935.91,Carbon Steel,92.0,Stainless Steel,3.1,23.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,12.77,FR4 Composite,41.6,Copper,30.3,17.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.53,FR4 Composite,39.9,Copper,29.2,18.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,23.78,FR4 Composite,45.8,Copper,30.3,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,18.18,Copper,95.3,Carbon Steel,4.1,35.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,40.11,Carbon Steel,51.9,Copper,25.4,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,16.91,Copper,61.8,PVC,31.0,18.0,Extruded / Stranded,2.0
Main Switchboard,Steel Frame / Chassis,919.43,Carbon Steel,95.0,Stainless Steel,2.8,33.0,Welded,1.0
Main Switchboard,Copper Busbar System,244.69,Copper,92.3,Carbon Steel,1.0,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.31,Polyamide,72.2,Polycarbonate,21.7,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Contactors,17.8,Copper,49.3,Silver-Tin Oxide,19.2,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,26.31,Carbon Steel,84.2,Polyamide,7.6,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,13.37,FR4 Composite,40.2,Copper,32.9,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,15.36,Copper,68.8,PVC,27.5,17.0,Extruded / Stranded,2.0
Main Switchboard,Earthing and Grounding Bars,16.13,Copper,94.5,Carbon Steel,3.8,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,17.1,Copper,50.9,Silver-Tin Oxide,20.8,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,26.58,Carbon Steel,85.1,Polyamide,8.1,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,13.13,Polyamide,73.1,Polycarbonate,22.6,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Circuit Breakers,38.51,Carbon Steel,55.7,Copper,23.8,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,921.13,Carbon Steel,98.3,Stainless Steel,3.2,25.0,Welded,1.0
Main Switchboard,PLC and Logic Assemblies,19.96,FR4 Composite,50.4,Copper,28.7,13.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,240.33,Copper,99.0,Carbon Steel,1.0,23.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,242.56,Cu-ETP Copper,99.0,Carbon Steel,1.1,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,19.52,FR4 Composite,50.1,Copper,27.8,13.0,Chemically Bonded / Cast,2.0
Main Switchboard,Control Wiring Harness,14.55,Copper,64.8,PVC,30.7,18.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,11.42,Polyamide,67.2,Polycarbonate,21.2,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,843.07,Carbon Steel,97.3,Stainless Steel,3.2,29.0,Welded,1.0
Main Switchboard,Earthing and Grounding Bars,16.0,Copper,93.1,Carbon Steel,3.9,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,41.73,Carbon Steel,56.0,Copper,22.8,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,17.75,Copper,50.2,Silver-Tin Oxide,19.2,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,28.37,Carbon Steel,89.1,Polyamide,8.3,23.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.01,FR4 Composite,40.1,Copper,33.5,17.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,242.3,Copper,96.9,Carbon Steel,1.1,23.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,16.44,Copper,90.2,Carbon Steel,3.8,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,22.44,FR4 Composite,47.3,Copper,30.2,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Protection Relays and Meters,13.84,FR4 Composite,41.6,Copper,30.1,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,17.44,Copper,49.7,Silver-Tin Oxide,20.4,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,28.26,Carbon Steel,85.4,Polyamide,7.3,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,15.31,Copper,61.2,PVC,31.1,14.0,Extruded / Stranded,2.0
Main Switchboard,Steel Frame / Chassis,853.19,Carbon Steel,98.9,Stainless Steel,2.9,22.0,Welded,1.0
Main Switchboard,Withdrawable Circuit Breakers,36.82,Carbon Steel,52.5,Copper,26.6,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.14,Polyamide,68.9,Polycarbonate,20.6,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Copper Busbar System,232.61,Copper,92.1,Carbon Steel,1.0,28.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,17.98,Copper,93.4,Carbon Steel,3.8,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,17.04,Copper,67.2,PVC,28.2,16.0,Extruded / Stranded,2.0
Main Switchboard,PLC and Logic Assemblies,21.77,FR4 Composite,45.8,Copper,30.4,13.0,Chemically Bonded / Cast,2.0
Main Switchboard,Insulation Panels and Barriers,11.14,Polyamide,70.4,Polycarbonate,20.4,16.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,934.72,Carbon Steel,95.0,Stainless Steel,2.7,30.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,13.94,PC/ABS Blend,44.1,Copper,33.7,12.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,26.69,Carbon Steel,85.9,Polyamide,7.5,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,16.79,Copper,48.1,Silver-Tin Oxide,19.7,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,41.56,Carbon Steel,56.1,Copper,24.3,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,223.93,Copper,99.0,Carbon Steel,1.1,25.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,18.06,Copper,52.3,Silver-Tin Oxide,19.1,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,17.92,Cu-ETP Copper,94.3,Carbon Steel,3.8,25.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,13.27,FR4 Composite,39.8,Copper,32.7,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,16.45,Copper,67.5,PVC,29.7,13.0,Extruded / Stranded,2.0
Main Switchboard,PLC and Logic Assemblies,22.94,FR4 Composite,49.4,Copper,27.6,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Circuit Breakers,39.07,Carbon Steel,53.4,Copper,23.6,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,11.15,Polyamide,70.5,Polycarbonate,22.3,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,920.59,Carbon Steel,96.2,Stainless Steel,3.3,32.0,Welded,1.0
Main Switchboard,Door Panels and Covers,28.37,Carbon Steel,85.6,Polyamide,7.4,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,25.97,Carbon Steel,88.3,Polyamide,8.1,23.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,18.13,Copper,94.1,Carbon Steel,4.3,25.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,16.95,Copper,62.9,PVC,30.2,15.0,Extruded / Stranded,2.0
Main Switchboard,Protection Relays and Meters,13.22,FR4 Composite,43.3,Copper,30.9,18.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,37.56,Carbon Steel,53.2,Copper,23.1,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,20.43,FR4 Composite,45.7,Copper,29.8,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Insulation Panels and Barriers,12.22,Polyamide,69.7,Polycarbonate,21.4,12.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,899.27,Carbon Steel,97.9,Stainless Steel,2.9,26.0,Welded,1.0
Main Switchboard,Withdrawable Contactors,16.97,Copper,47.4,Silver-Tin Oxide,18.4,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,225.32,Copper,99.0,Carbon Steel,1.0,28.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,29.71,Carbon Steel,84.3,Polyamide,8.4,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.99,FR4 Composite,41.0,Copper,31.4,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,225.94,Copper,95.6,Carbon Steel,1.0,22.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,16.04,Copper,90.7,Carbon Steel,4.3,28.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,39.84,Carbon Steel,55.3,Copper,24.9,18.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,19.93,FR4 Composite,48.3,Copper,27.8,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Insulation Panels and Barriers,12.66,Polyamide,69.9,Polycarbonate,23.2,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,938.24,Carbon Steel,92.6,Stainless Steel,3.0,29.0,Welded,1.0
Main Switchboard,Withdrawable Contactors,17.52,Copper,47.2,Silver-Tin Oxide,18.8,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,16.71,Copper,63.2,PVC,28.2,18.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Circuit Breakers,39.21,Carbon Steel,54.6,Copper,24.7,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,15.34,Epoxy Resin,40.6,Copper,32.3,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,18.37,Copper,48.3,Silver-Tin Oxide,19.3,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,943.55,Carbon Steel,96.0,Stainless Steel,3.2,33.0,Welded,1.0
Main Switchboard,Control Wiring Harness,15.93,Copper,67.9,PVC,28.8,12.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,12.9,Polyamide,71.2,Polycarbonate,22.9,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Door Panels and Covers,26.93,Carbon Steel,88.9,Polyamide,8.1,26.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,20.95,FR4 Composite,49.3,Copper,27.9,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,235.8,Cu-ETP Copper,99.0,Carbon Steel,1.0,25.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,15.89,Copper,98.6,Carbon Steel,3.7,27.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,13.21,FR4 Composite,43.4,Copper,33.4,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,16.42,Copper,96.8,Carbon Steel,4.3,26.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,17.58,Copper,63.0,PVC,29.4,13.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,12.01,Polyamide,72.2,Polycarbonate,20.2,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,847.04,Carbon Steel,93.4,Stainless Steel,3.2,25.0,Welded,1.0
Main Switchboard,Withdrawable Contactors,16.53,Copper,50.7,Silver-Tin Oxide,20.4,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,23.39,FR4 Composite,46.8,Copper,30.2,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Door Panels and Covers,27.02,Carbon Steel,86.5,Polyamide,8.6,33.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,240.57,Copper,99.0,Carbon Steel,1.0,22.0,Mechanically Fastened / Bolted,1.0
